,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,SeniorCitizen_No,SeniorCitizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_Month_to_month,Contract_One_year,Contract_Two_year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank_transfer_automatic_,PaymentMethod_Credit_card_automatic_,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,ABSOLUTE_DIFF_MonthlyCharges_,ABSOLUTE_DIFF_TotalCharges_,ABSOLUTE_DIFF_tenure_,MonthlyCharges_0,TotalCharges_0,tenure_0,COSINE_MonthlyCharges_,COSINE_TotalCharges_,COSINE_tenure_,EXPONENTIAL_WEIGHTED_STD_MonthlyCharges_com_0_5_,EXPONENTIAL_WEIGHTED_STD_TotalCharges_com_0_5_,EXPONENTIAL_WEIGHTED_STD_tenure_com_0_5_,EXPONENTIAL_WEIGHTED_VARIANCE_MonthlyCharges_com_0_5_,EXPONENTIAL_WEIGHTED_VARIANCE_TotalCharges_com_0_5_,EXPONENTIAL_WEIGHTED_VARIANCE_tenure_com_0_5_,MonthlyCharges_tenure,TotalCharges_MonthlyCharges,tenure_MonthlyCharges,MonthlyCharges_1,TotalCharges_1,tenure_1,NATURAL_LOGARITHM_MonthlyCharges_,NATURAL_LOGARITHM_TotalCharges_,NATURAL_LOGARITHM_tenure_,Churn
10,5.0,59.9,287.85,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,20.65,4559.2,55.0,59.9,287.85,5.0,-0.9780851683128157,0.38413632685280896,0.28366218546322625,13.556994780599059,2801.7116158258477,36.536075451031984,183.79210748119013,7849587.978253484,1334.8848093635017,True,True,False,59.9,287.85,5.0,4.092676505121403,5.662439511121819,1.6094379124341003,0
11,5.0,49.4,232.55,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,10.5,55.30000000000001,0.0,49.4,232.55,5.0,0.6482728441404405,0.9973987765211815,0.28366218546322625,12.548473795622083,1865.0118494493076,24.160285691230904,157.4641945994141,3478269.1985863266,583.7194046818968,True,True,False,49.4,232.55,5.0,3.899950424193877,5.449105255670106,1.6094379124341003,0
12,2.0,50.95,123.05,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,1.5500000000000043,109.50000000000001,3.0,50.95,123.05,2.0,0.7747241947506038,-0.8638735823717746,-0.4161468365471424,7.58207099885506,1142.6621778094716,15.155746388539637,57.487800631678965,1305676.8525962844,229.69664859373222,True,True,False,50.95,123.05,2.0,3.9308447596687337,4.812590776837065,0.6931471805599453,0
13,30.0,67.6,2000.2,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,16.64999999999999,1877.15,28.0,67.6,2000.2,30.0,0.05572906087655675,-0.5449051487376999,0.15425144988758405,11.241947263584892,1303.2647618716874,18.845685654466575,126.38137827722386,1698499.0395364661,355.1598677869672,True,True,False,67.6,2000.2,30.0,4.213607983048918,7.6010024545424155,3.4011973816621555,0
14,36.0,95.4,3474.2,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,27.80000000000001,1473.9999999999998,6.0,95.4,3474.2,36.0,0.4064597415690034,0.9204856508939826,-0.12796368962740468,22.922961764383814,1551.927321986324,14.486241271822296,525.4621760514023,2408478.4127276433,209.85118618544766,True,True,False,95.4,3474.2,36.0,4.558078578454241,8.153119515667823,3.58351893845611,0
15,55.0,69.05,3842.6,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,26.35000000000001,368.4000000000001,19.0,69.05,3842.6,55.0,0.9978857500592462,-0.9080528604375366,0.022126756261955736,16.732553089599158,1135.819027622838,17.925339583808295,279.97833289625436,1290084.8635100892,321.3177991948445,True,True,False,69.05,3842.6,55.0,4.234830879855301,8.253904499797601,4.007333185232471,0
16,31.0,84.75,2613.4,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,15.700000000000003,1229.1999999999998,24.0,84.75,2613.4,31.0,-0.997336562929792,0.9190678040144677,0.9147423578045313,11.961741839780803,879.9699766593594,14.896987174524558,143.08326784156262,774347.1598218735,221.92022687794918,True,True,False,84.75,2613.4,31.0,4.43970574626056,7.868407334555045,3.4339872044851463,0
17,28.0,35.9,973.65,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,48.85,1639.75,3.0,35.9,973.65,28.0,-0.22633707568091363,0.9704463717290795,-0.9626058663135666,30.99456889449811,1385.2884159524742,10.247800219748031,960.6633009557897,1919023.9953721154,105.01740934386781,True,True,False,35.9,973.65,28.0,3.580737295494233,6.8810518961475875,3.332204510175204,0
18,16.0,18.95,326.8,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,16.95,646.8499999999999,12.0,18.95,326.8,16.0,0.9949597332992033,0.9972362697425525,-0.9576594803233847,27.874263642298658,1175.0264052451344,11.496562377584413,776.9745736003729,1380687.0530233025,132.17094650168937,True,True,False,18.95,326.8,16.0,2.9418039315284354,5.789348362985848,2.772588722239781,0
19,6.0,20.15,130.5,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,1.1999999999999993,196.3,10.0,20.15,130.5,6.0,0.26707090682621315,0.12358807938670624,0.960170286650366,17.291142853255835,796.7381254163158,11.962754730194273,298.9836211717003,634791.640491905,143.10750073478548,True,True,False,20.15,130.5,6.0,3.0032042883926917,4.871373226762748,1.791759469228055,0
20,27.0,85.9,2220.1,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,65.75,2089.6,21.0,85.9,2220.1,27.0,-0.47397356283147857,-0.5352386423243474,-0.2921388087338362,42.9029903630461,1335.5170790277052,12.720806901240076,1840.6665820916264,1783605.868374694,161.81892821863713,True,True,False,85.9,2220.1,27.0,4.45318382899021,7.7053075188968725,3.295836866004329,0
21,58.0,25.3,1474.35,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,60.60000000000001,745.75,31.0,25.3,1474.35,58.0,0.9860448308379632,-0.5873259026824205,0.11918013544881928,36.267859518346064,775.1214952074249,25.316237259751087,1315.3576340424854,600813.332332594,640.9118689920092,False,True,True,25.3,1474.35,58.0,3.2308043957334744,7.295972493680748,4.060443010546419,0
22,72.0,104.9,7732.65,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,79.60000000000001,6258.299999999999,14.0,104.9,7732.65,72.0,-0.33664711098329314,-0.37121466222209487,-0.9672505882738824,48.9416956730071,4169.87223983204,22.73139868635619,2395.2895753492426,17387834.496521868,516.7164862380758,True,True,False,104.9,7732.65,72.0,4.653007515402251,8.953206903013168,4.276666119016055,0
23,28.0,35.75,961.4,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,69.15,6771.25,44.0,35.75,961.4,28.0,-0.36935562345465606,0.9973622943355296,-0.9626058663135666,42.20831469844718,3950.5511291190865,26.94276805264952,1781.5418296831524,15606854.223784087,725.9127503388715,True,True,False,35.75,961.4,28.0,3.5765502691400166,6.86839055545986,3.332204510175204,0
24,40.0,85.05,3355.65,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,49.3,2394.25,12.0,85.05,3355.65,40.0,-0.9743463157026727,0.9093630448301103,-0.6669380616522619,33.11019832989853,2346.7180247792044,15.556202374971406,1096.2852334452155,5507085.48782361,241.99543233106598,True,True,False,85.05,3355.65,40.0,4.44323931884187,8.118400771326023,3.6888794541139363,0
25,1.0,20.5,20.5,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,64.55,3335.15,39.0,20.5,20.5,1.0,-0.07956356727854007,-0.07956356727854007,0.5403023058681398,40.37397077368788,2448.4412074910874,27.458221195433282,1630.0575160346032,5994864.346540414,753.9539112173416,True,False,False,20.5,20.5,1.0,3.0204248861443626,3.0204248861443626,0.0,1
26,5.0,80.0,412.5,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,59.5,392.0,4.0,80.0,412.5,5.0,-0.11038724383904756,-0.5805743691804702,0.28366218546322625,36.289170606421635,1474.2467966152751,16.94430603936386,1316.903903301976,2173403.6173304003,287.10950715562257,True,True,False,80.0,412.5,5.0,4.382026634673881,6.022236205774735,1.6094379124341003,1
27,1.0,69.2,69.2,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,10.799999999999997,343.3,4.0,69.2,69.2,1.0,0.9963929320545596,0.9963929320545596,0.5403023058681398,21.053662901536942,927.444890755522,10.836367286280272,443.256721571553,860154.0253885222,117.42685596316527,True,False,False,69.2,69.2,1.0,4.237000862623624,4.237000862623624,0.0,1
28,12.0,105.3,1275.65,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,36.099999999999994,1206.45,11.0,105.3,1275.65,12.0,0.056615815442759745,0.9866827198041667,0.8438539587324921,27.580067895383475,866.7065495589609,8.517472759003473,760.6601451139622,751180.2430483995,72.54734220036623,True,True,False,105.3,1275.65,12.0,4.6568134191399295,7.151211131608225,2.4849066497880004,0
29,5.0,96.1,453.4,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,9.200000000000003,822.2500000000001,7.0,96.1,453.4,5.0,-0.27772397378626995,0.5313034899836921,0.28366218546322625,16.06373275592975,594.5008634940805,5.62943831031864,258.0435100539304,353431.2766952073,31.690575689683183,True,True,False,96.1,453.4,5.0,4.565389315976247,6.1167747380734285,1.6094379124341003,1
30,71.0,86.1,6045.9,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,10.0,5592.5,66.0,86.1,6045.9,71.0,-0.2895895390399107,0.0949187231964895,-0.3090227281660707,11.024523001435469,3637.5647534890322,43.20904535621667,121.54010740917974,13231877.335825723,1867.0216005955892,True,True,False,86.1,6045.9,71.0,4.455509411433685,8.707135635341553,4.2626798770413155,0
31,3.0,76.95,228.4,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,9.149999999999991,5817.5,68.0,76.95,228.4,3.0,0.019018866187863994,-0.5928011709358236,-0.9899924966004454,10.29122722558571,3397.9480628679607,39.768717863028705,105.90935780863654,11546051.037948126,1581.5509204691784,True,True,False,76.95,228.4,3.0,4.343155860284888,5.431098477781855,1.0986122886681098,1
32,30.0,19.65,655.85,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,57.300000000000004,427.45000000000005,27.0,19.65,655.85,30.0,0.6963880782713696,-0.7365339661294683,0.15425144988758405,41.324963836735364,2053.1054407115976,24.209690418707083,1707.7526361074858,4215241.950679563,586.1091101696376,False,True,True,19.65,655.85,30.0,2.9780773383152703,6.485932104261154,3.4011973816621555,1
33,25.0,20.2,507.9,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,0.5500000000000007,147.95000000000005,5.0,20.2,507.9,25.0,0.21857336778526265,0.5079355402064353,0.9912028118634736,27.29865100620854,1222.844618849796,13.998916410465318,745.2163467587706,1495348.961849903,195.9696606671952,False,True,True,20.2,507.9,25.0,3.005682604407159,6.2302845778072,3.2188758248682006,0
34,52.0,24.55,1331.05,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,4.350000000000001,823.15,27.0,24.55,1331.05,52.0,0.8349572501144569,0.5526255077139856,-0.16299078079570548,15.834175660543574,836.4852112783515,19.49602659634984,250.7211188489505,699707.5086873883,380.0950530455803,False,True,True,24.55,1331.05,52.0,3.2007118542405295,7.193723383429582,3.9512437185814275,0
35,46.0,110.0,4874.8,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,85.45,3543.75,6.0,110.0,4874.8,46.0,-0.999020813314648,0.5802193264837735,-0.4321779448847783,57.19475582372821,2558.041628304058,11.417596286682219,3271.240093735892,6543576.972136478,130.36150496565958,True,True,False,110.0,4874.8,46.0,4.700480365792417,8.491834356949347,3.828641396489095,1
36,9.0,70.5,597.9,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,39.5,4276.900000000001,37.0,70.5,597.9,9.0,0.18476693191217952,0.5424918149341625,-0.9111302618846769,33.86541650558741,2497.4120830986644,24.91649392858512,1146.8664350969125,6237067.1128072115,620.8316696932192,True,True,False,70.5,597.9,9.0,4.255612709818223,6.393423515886859,2.1972245773362196,0
37,19.0,86.85,1564.4,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,16.349999999999994,966.5000000000001,10.0,86.85,1564.4,19.0,0.4405417294263242,0.9936063266952402,0.9887046181866692,21.278465342542056,1442.1338135593282,14.448088431881917,452.77308733376344,2079749.9362111716,208.7472593354801,True,True,False,86.85,1564.4,19.0,4.464182492687114,7.355257642881359,2.9444389791664403,0
38,12.0,49.4,611.65,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,37.449999999999996,952.7500000000001,7.0,49.4,611.65,12.0,0.6482728441404405,-0.5730550434974457,0.8438539587324921,25.344666166481453,1052.7056842928932,9.784603739526561,642.3521030903897,1108189.2577425686,95.73847033955717,True,True,False,49.4,611.65,12.0,3.899950424193877,6.416160223492925,2.4849066497880004,0
39,45.0,98.7,4525.8,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,49.300000000000004,3914.15,33.0,98.7,4525.8,45.0,-0.25724347006749937,-0.32950807389712006,0.5253219888177297,29.38041868151688,2470.6379481403433,21.066782809101174,863.2090019012261,6104051.870791126,443.80933792584074,True,True,False,98.7,4525.8,45.0,4.592084946439436,8.41754963608764,3.8066624897703196,0
40,36.0,104.5,3684.95,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,5.799999999999997,840.8500000000004,9.0,104.5,3684.95,36.0,-0.6767608607837156,-0.9904679580380553,-0.12796368962740468,20.987698677905517,1446.0883893684124,12.186951637421602,440.48349579455703,2091171.6298661295,148.52179021285306,True,True,False,104.5,3684.95,36.0,4.6491870714048655,8.212012236010352,3.58351893845611,0
41,38.0,95.1,3691.2,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,9.400000000000006,6.25,2.0,95.1,3691.2,38.0,0.658313383119661,-0.9853524087606154,0.9550736440472949,12.305986708028678,839.0537392673315,7.213192684309702,151.4373088581785,704011.177378491,52.030148700979,True,True,False,95.1,3691.2,38.0,4.554928969551344,8.21370688741949,3.6375861597263857,0
42,1.0,19.2,19.2,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,75.89999999999999,3672.0,37.0,19.2,19.2,1.0,0.9392203466968708,0.9392203466968708,0.5403023058681398,51.805170554269296,2468.208629440747,24.493845380160245,2683.7756961569307,6092053.838445771,599.9484615071974,True,False,False,19.2,19.2,1.0,2.954910279033736,2.954910279033736,0.0,0
43,10.0,98.5,1037.75,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,79.3,1018.55,9.0,98.5,1037.75,10.0,-0.44409916442465225,0.519590846611622,-0.8390715290764524,46.62052178927725,1430.7313422784496,14.288732059621132,2173.4730519044747,2046992.1737778943,204.16786387164476,True,True,False,98.5,1037.75,10.0,4.590056548178043,6.944810186933148,2.302585092994046,1
44,13.0,44.8,559.2,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,53.7,478.54999999999995,3.0,44.8,559.2,13.0,0.6838989576357016,0.9999939017904114,0.9074467814501962,35.982250729652904,901.7125597149048,8.354238982100576,1294.722367571607,813085.5403476058,69.79330897004887,True,True,False,44.8,559.2,13.0,3.8022081394209395,6.3265071909196005,2.5649493574615367,0
45,18.0,82.0,1425.45,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,37.2,866.25,5.0,82.0,1425.45,18.0,0.9496776978825432,0.6726110339672717,0.6603167082440802,26.74257169329542,692.7098527942182,6.1235341002572925,715.1651407710456,479846.94015818747,37.49766987701389,True,True,False,82.0,1425.45,18.0,4.406719247264253,7.262242832325434,2.8903717578961645,1
46,37.0,45.4,1593.1,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,36.6,167.64999999999986,19.0,45.4,1593.1,37.0,0.15249615320336748,-0.9515603755566981,0.7654140519453434,24.317179315299846,479.26182878802086,14.3660522820087,591.3252098524466,229691.90053323822,206.38345816940742,True,True,False,45.4,1593.1,37.0,3.8155121050473024,7.373437082578849,3.6109179126442243,0
